"","country","isocode","ison","region","language","date","id_gallup","wgt","patience","risktaking","posrecip","negrecip","altruism","trust","subj_math_skills","gender","age"
"1","Turkey","TUR",792,"Adana","Turkish",2012-03-07,7100800000001,0.271782882091771,0.0471760481595993,1.02020335197449,0.594384133815765,-0.367175072431564,-0.139952719211578,1.67975413799286,7,1,26
"2","Turkey","TUR",792,"Adana","Turkish",2012-03-08,7100800000002,0.271782882091771,-0.675697505474091,0.387176990509033,0.662234127521515,0.0772513002157211,-0.139952719211578,0.950433790683746,3,1,50
"3","Turkey","TUR",792,"Adana","Turkish",2012-03-08,7100800000003,0.442259366468223,0.318253666162491,1.02020335197449,-0.00092999468324706,0.0772513002157211,-0.606967031955719,0.585773646831512,7,1,21
"4","Turkey","TUR",792,"Adana","Turkish",2012-03-07,7100800000004,1.42367100241973,0.498972058296204,1.27152752876282,0.959891140460968,0.0772513002157211,0.560568749904633,0.585773646831512,7,0,24
"5","Turkey","TUR",792,"Adana","Turkish",2012-03-07,7100800000005,0.705356426332876,0.589331209659576,1.12261927127838,1.32539820671082,-0.367175072431564,0.327061623334885,1.67975413799286,9,0,24
"6","Turkey","TUR",792,"Adana","Turkish",2012-03-07,7100800000006,2.13550650362959,-0.585338354110718,1.96351063251495,1.32539820671082,-0.219032928347588,0.327061623334885,1.67975413799286,7,0,19
"7","Turkey","TUR",792,"Adana","Turkish",2012-03-08,7100800000007,0.514882811138211,-0.675697505474091,0.194809466600418,0.662234127521515,-0.0708908140659332,-0.139952719211578,1.31509399414062,5,1,25
"8","Turkey","TUR",792,"Adana","Turkish",2012-03-07,7100800000008,0.650196978269172,-0.613829016685486,-0.618120014667511,0.959891140460968,NA,1.72129321098328,0.585773646831512,2,0,40
"9","Turkey","TUR",792,"Adana","Turkish",2012-03-05,7100800000009,0.721948822496216,0.302251398563385,-0.330787777900696,0.228877082467079,NA,0.556702673435211,0.585773646831512,NA,0,32
"10","Turkey","TUR",792,"Adana","Turkish",2012-03-05,7100800000010,0.271782882091771,-0.420622199773788,-0.869444251060486,-0.366437017917633,1.0618189573288,-0.459346920251846,0.950433790683746,7,0,34
"11","Turkey","TUR",792,"Adana","Turkish",2012-03-05,7100800000011,0.650196978269172,-0.548159837722778,1.20953798294067,-0.0687799602746964,1.2099609375,-0.299649834632874,0.950433790683746,9,0,40
"12","Turkey","TUR",792,"Adana","Turkish",2012-03-05,7100800000012,0.924978399316389,-0.675697505474091,0.00244192057289183,0.0669199526309967,0.669819831848145,0.794075906276703,0.585773646831512,7,1,46
"13","Turkey","TUR",792,"Adana","Turkish",2012-03-05,7100800000013,0.705356426332876,0.536150574684143,1.65322971343994,-0.961751163005829,0.251720011234283,-0.680777072906494,-0.508206844329834,5,0,18
"14","Turkey","TUR",792,"Adana","Turkish",2012-03-05,7100800000014,0.271782882091771,-0.548159837722778,-1.37209272384644,1.32539820671082,-0.0972174108028412,-0.139952719211578,0.950433790683746,1,0,32
"15","Turkey","TUR",792,"Adana","Turkish",2012-03-05,7100800000015,0.924978399316389,0.137535244226456,-0.366795718669891,-0.366437017917633,0.103577889502048,-0.963991701602936,-0.143546685576439,4,1,53
"16","Turkey","TUR",792,"Adana","Turkish",2012-03-05,7100800000016,0.307943647308911,0.174713730812073,-0.67496645450592,-0.434286952018738,NA,NA,NA,NA,0,28
"17","Turkey","TUR",792,"Adana","Turkish",2012-03-06,7100800000017,0.589679155290964,0.408612847328186,1.37350368499756,0.594384133815765,0.225393429398537,-0.606967031955719,1.31509399414062,7,1,24
"18","Turkey","TUR",792,"Adana","Turkish",2012-03-06,7100800000018,0.307943647308911,0.408612847328186,0.548549711704254,0.594384133815765,-0.0708908140659332,-0.606967031955719,0.585773646831512,7,0,26
