"respid","LOCALRATING","COMATTACH","INFLUENCE","LOCMED_INTOUCH","NEWS_LEVELa","NEWS_LEVELb","NEWS_LEVELc","NEWS_LEVELd","LOCNEWSWEBa","LOCNEWSWEBb","NEWSALERTS","LOCAL_PREFER","PROVIDERa","PROVIDERb","PROVIDERc","PROVIDERd","PROVIDERe","PROVIDERf","PROVIDERg","PROVIDERh","PROVIDERi","PROV_PLATFORMa","PROV_PLATFORMb","PROV_PLATFORMc","PROV_PLATFORMd","PROV_PLATFORMe","PROV_PLATFORMf","PROV_PLATFORMg","PROV_PLATFORMh","PROV_PLATFORMi","PROV_PEOPLE1","PROV_PEOPLE2","LOCNEWS_COVERAGE1","ROLEVALUES1","ROLEVALUES2","JOBVALUESa","JOBVALUESb","JOBVALUESc","JOBVALUESd","JOBVALUESe","JOBVALUESf","JOBVALUESg","MAIN_CONF","TOPICIMPORTa","TOPICIMPORTb","TOPICIMPORTc","TOPICIMPORTd","TOPICIMPORTe","TOPICIMPORTf","TOPICIMPORTg","TOPICIMPORTh","TOPICIMPORTi","TOPICIMPORTj","TOPICIMPORTk","TOPICINFOa","TOPICINFOb","TOPICINFOc","TOPICINFOd","TOPICINFOe","TOPICINFOf","TOPICINFOg","TOPICINFOh","TOPICINFOi","TOPICINFOj","TOPICINFOk","NEWSCONTRIB","INTERNET_IMPT","SOCMEDIA_IMPT","SOCMEDIA_ATTN","DIG_FEATURESa","DIG_FEATURESb","DIG_FEATURESc","DIG_FEATURESd","DIG_FEATURESe","DIG_FEATURESg","LOCAL_DEVICE","LOCALMEDIA_JOB","ROLECONNECTEDa","ROLECONNECTEDc","ROLECONNECTEDd","TALKJOUR","LOCALOPINIONS","LOCALACTIVITYa","LOCALACTIVITYb","LOCALACTIVITYc","LOCALACTIVITYd","LOCALACTIVITYf","FINANCE","LOCAL_NEWS_PAY","LOCAL_NEWS_DONT_PAY","LOCALGROUPSa","LOCALGROUPSb","LOCALGROUPSc","LOCALGROUPSd","LOCALGROUPSf","LOCALGROUPSg","LOCALGROUPSh","LOCALGROUPSi","F_METRO","F_CREGION","F_USR_SELFID","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_RACETHN","F_MARITAL","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_ACSWEB","F_VOLSUM","LOCAL_AREA","WEIGHT"
21,1,2,1,1,2,1,3,3,3,4,2,1,4,1,4,3,3,4,2,3,2,NA,1,NA,99,2,NA,4,99,99,3,1,1,5,2,1,1,1,2,1,1,1,2,3,2,2,1,4,1,4,2,1,3,2,1,2,1,1,NA,1,NA,2,1,99,2,2,2,NA,NA,2,1,2,2,1,1,1,2,1,1,3,2,1,1,1,1,2,2,2,1,NA,2,1,2,1,2,2,2,1,1,3,1,4,2,1,5,1,3,2,NA,2,99,99,1,1,1,"12060",0.1937696274
22,2,2,2,1,2,2,1,2,3,3,2,1,1,1,2,2,1,2,3,3,3,1,1,1,1,1,1,2,1,1,2,1,1,5,6,1,1,1,1,1,1,1,1,2,2,1,2,2,2,3,3,2,2,2,1,2,1,2,1,1,99,2,2,2,2,2,3,3,2,2,2,2,2,2,1,2,1,2,2,3,2,2,1,2,2,2,2,2,1,NA,2,2,2,2,2,2,2,2,1,3,2,4,2,2,4,1,3,3,2,2,8,1,1,1,2,"47900",0.5292369053
23,2,2,2,1,3,2,2,3,3,1,1,3,1,4,3,2,2,3,3,1,4,1,NA,2,1,3,4,2,1,NA,2,1,2,4,7,2,2,2,1,2,2,2,2,2,2,1,3,3,1,4,3,3,2,2,2,1,1,1,2,1,NA,2,1,3,2,2,2,2,1,2,2,2,1,1,2,3,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,2,2,1,6,2,3,3,2,2,6,2,1,1,1,"39580",0.5443364833
24,1,2,2,99,2,1,2,4,4,4,2,3,2,4,3,4,4,4,4,4,4,1,NA,1,NA,NA,NA,NA,NA,NA,4,NA,2,99,99,2,2,2,2,2,2,2,3,2,4,1,4,3,4,4,4,3,4,1,2,NA,1,NA,3,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,4,1,1,6,1,1,1,NA,1,5,2,1,1,1,"38060",0.3578470805
25,2,2,1,1,2,1,3,4,2,1,1,4,2,4,4,2,4,3,3,1,4,3,NA,NA,1,NA,4,4,2,NA,1,3,2,5,2,2,1,1,1,1,1,1,1,2,2,1,2,2,3,3,2,2,3,2,2,2,2,3,99,2,1,2,99,2,2,2,99,1,1,1,2,1,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,99,2,2,2,2,2,2,2,2,2,3,3,3,2,1,6,1,3,2,NA,2,4,2,1,1,2,"00003",0.862188007
26,1,1,1,1,2,2,1,2,3,3,1,1,4,2,2,3,2,2,3,3,4,NA,1,2,1,1,1,1,2,NA,2,1,1,5,7,1,1,1,1,1,1,1,1,2,2,1,2,2,3,2,3,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,NA,2,2,2,2,2,2,2,2,1,2,2,3,2,1,5,1,1,2,NA,2,6,2,1,1,2,"33460",1.0566706273
27,1,1,2,2,2,2,3,1,1,2,2,5,3,3,3,1,1,3,3,2,1,1,2,1,1,1,1,1,1,1,2,1,1,5,6,2,2,2,2,2,2,2,3,1,2,1,3,3,2,4,2,1,1,2,1,2,99,1,1,1,NA,3,3,3,2,1,3,2,1,2,1,2,1,1,1,1,2,2,2,3,1,2,2,2,2,1,1,3,2,3,2,1,1,2,2,2,2,2,1,2,2,2,2,2,3,1,1,3,1,1,6,2,1,1,1,"10420",0.4955266964
28,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,4,3,4,2,4,1,1,1,1,NA,1,NA,2,NA,2,3,1,6,5,1,1,1,1,1,1,1,2,1,1,1,2,2,2,3,3,1,2,1,2,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,NA,2,2,2,2,2,2,2,2,2,2,3,4,1,1,5,1,1,1,NA,1,7,1,1,1,2,"00005",0.4450726261
29,2,1,2,2,2,1,2,3,2,4,2,3,2,3,3,1,4,4,4,4,2,1,1,2,1,NA,NA,NA,NA,1,2,1,2,7,2,2,1,2,2,2,2,2,2,2,2,1,4,4,4,4,4,4,4,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,3,2,3,NA,NA,2,1,2,2,1,2,3,2,1,2,3,2,2,1,2,2,2,1,3,1,NA,2,2,1,2,2,2,2,1,1,2,3,4,1,1,6,1,1,1,NA,1,7,1,1,1,2,"48620",0.8199965784
30,2,2,2,1,2,2,2,3,2,1,2,5,3,4,4,2,4,4,3,3,4,2,NA,NA,2,NA,NA,2,2,NA,3,2,1,2,7,2,1,2,2,2,1,1,3,1,1,2,3,2,3,2,1,3,2,2,1,2,1,2,1,1,1,2,3,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,99,2,2,2,1,1,1,1,2,2,1,NA,2,2,1,2,2,2,1,2,1,3,2,2,2,1,6,1,6,1,NA,1,6,2,2,1,2,"36740",0.8307624114
