"respid","LOCALRATING","COMATTACH","INFLUENCE","LOCMED_INTOUCH","NEWS_LEVELa","NEWS_LEVELb","NEWS_LEVELc","NEWS_LEVELd","LOCNEWSWEBa","LOCNEWSWEBb","NEWSALERTS","LOCAL_PREFER","PROVIDERa","PROVIDERb","PROVIDERc","PROVIDERd","PROVIDERe","PROVIDERf","PROVIDERg","PROVIDERh","PROVIDERi","PROV_PLATFORMa","PROV_PLATFORMb","PROV_PLATFORMc","PROV_PLATFORMd","PROV_PLATFORMe","PROV_PLATFORMf","PROV_PLATFORMg","PROV_PLATFORMh","PROV_PLATFORMi","PROV_PEOPLE1","PROV_PEOPLE2","LOCNEWS_COVERAGE1","ROLEVALUES1","ROLEVALUES2","JOBVALUESa","JOBVALUESb","JOBVALUESc","JOBVALUESd","JOBVALUESe","JOBVALUESf","JOBVALUESg","MAIN_CONF","TOPICIMPORTa","TOPICIMPORTb","TOPICIMPORTc","TOPICIMPORTd","TOPICIMPORTe","TOPICIMPORTf","TOPICIMPORTg","TOPICIMPORTh","TOPICIMPORTi","TOPICIMPORTj","TOPICIMPORTk","TOPICINFOa","TOPICINFOb","TOPICINFOc","TOPICINFOd","TOPICINFOe","TOPICINFOf","TOPICINFOg","TOPICINFOh","TOPICINFOi","TOPICINFOj","TOPICINFOk","NEWSCONTRIB","INTERNET_IMPT","SOCMEDIA_IMPT","SOCMEDIA_ATTN","DIG_FEATURESa","DIG_FEATURESb","DIG_FEATURESc","DIG_FEATURESd","DIG_FEATURESe","DIG_FEATURESg","LOCAL_DEVICE","LOCALMEDIA_JOB","ROLECONNECTEDa","ROLECONNECTEDc","ROLECONNECTEDd","TALKJOUR","LOCALOPINIONS","LOCALACTIVITYa","LOCALACTIVITYb","LOCALACTIVITYc","LOCALACTIVITYd","LOCALACTIVITYf","FINANCE","LOCAL_NEWS_PAY","LOCAL_NEWS_DONT_PAY","LOCALGROUPSa","LOCALGROUPSb","LOCALGROUPSc","LOCALGROUPSd","LOCALGROUPSf","LOCALGROUPSg","LOCALGROUPSh","LOCALGROUPSi","F_METRO","F_CREGION","F_USR_SELFID","F_AGECAT","F_SEX","F_EDUCCAT","F_EDUCCAT2","F_RACETHN","F_MARITAL","F_PARTY_FINAL","F_PARTYLN_FINAL","F_PARTYSUM_FINAL","F_INCOME","F_INCOME_RECODE","F_REG","F_ACSWEB","F_VOLSUM","LOCAL_AREA","WEIGHT"
4556,3,4,2,2,4,4,4,4,4,3,2,1,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,4,5,2,2,2,2,2,2,2,3,3,3,3,4,3,4,4,3,3,3,4,3,3,3,NA,3,NA,NA,3,3,3,NA,2,3,3,2,2,2,2,2,99,2,2,4,4,4,4,2,2,2,2,2,2,2,4,2,1,2,2,2,2,2,2,2,2,1,3,3,3,2,3,1,3,3,4,99,9,1,3,3,1,2,"19100",2.3708478633
4557,2,2,1,2,2,2,2,2,3,2,2,1,2,4,2,2,2,2,2,3,4,1,NA,1,1,3,2,1,1,NA,2,1,1,99,99,2,2,2,2,2,2,1,3,2,2,3,2,2,2,2,3,2,2,3,3,3,2,99,99,3,2,3,2,2,3,2,1,3,2,1,2,2,1,1,1,2,2,2,2,3,1,2,2,1,2,1,2,3,2,4,1,2,2,2,2,1,2,2,1,1,3,3,1,2,3,1,1,1,NA,1,5,2,1,1,1,"35620",0.5969561906
4558,2,2,2,1,3,2,2,2,3,3,2,3,1,1,4,2,4,4,4,4,4,1,1,NA,1,NA,NA,NA,NA,NA,2,1,2,5,1,2,1,2,2,1,1,1,2,1,2,2,3,2,1,1,2,2,3,1,3,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,3,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,4,1,2,3,1,1,3,1,1,3,3,1,1,2,"31080",0.5129532161
4559,2,2,2,1,1,1,1,1,4,4,2,3,1,2,3,2,3,3,2,3,4,1,1,1,1,1,2,2,1,NA,2,1,1,7,6,1,1,1,1,1,1,1,1,1,2,1,2,4,2,2,3,2,3,2,1,1,1,3,NA,3,2,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,99,1,1,3,3,2,2,3,1,3,1,NA,1,6,2,1,1,1,"00005",0.4894681648
4560,1,1,1,1,2,1,2,1,4,4,2,3,2,1,1,2,1,1,2,4,4,1,1,1,1,1,1,1,NA,NA,2,1,2,5,6,1,1,1,2,1,1,1,1,1,1,1,2,1,1,4,4,3,3,1,2,1,1,1,2,1,NA,NA,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,1,4,1,4,1,2,3,1,3,2,NA,2,6,2,1,1,2,"31080",0.440415824
4561,1,2,1,1,2,2,1,1,2,3,2,3,1,1,4,99,4,2,2,2,4,1,1,NA,NA,NA,1,3,1,NA,3,3,2,5,1,1,1,1,1,1,1,1,1,2,2,1,3,2,3,1,3,3,3,3,1,1,1,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,NA,2,2,2,2,2,2,2,2,1,3,3,3,1,2,3,1,1,3,2,2,4,2,1,1,2,"16740",0.7509695566
4562,2,2,1,1,1,1,1,1,1,1,1,4,1,1,3,2,1,1,2,1,3,1,1,2,1,3,4,4,2,2,1,3,2,7,5,1,1,1,1,1,1,1,2,1,1,1,2,2,1,4,2,2,3,1,2,2,1,2,2,2,NA,2,1,2,3,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,1,1,3,1,NA,1,2,2,2,2,2,1,1,1,3,2,4,1,1,6,1,1,3,2,2,7,1,1,1,1,"39580",0.186107726
4563,1,2,2,2,1,1,1,1,2,4,1,3,1,1,1,1,1,1,2,3,4,1,1,2,1,2,3,2,1,NA,2,1,2,3,6,1,1,1,1,1,1,1,2,1,2,1,3,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,NA,NA,1,2,2,1,1,1,2,2,2,2,4,2,2,1,2,2,2,1,2,2,4,2,2,2,2,2,2,2,99,1,2,3,3,1,1,5,1,6,3,1,1,5,2,1,1,2,"19820",0.3865932138
4564,2,1,2,1,3,3,2,2,2,2,1,3,2,2,3,2,3,3,3,3,4,1,3,3,1,3,2,3,2,NA,2,3,1,5,6,1,1,1,1,1,1,1,2,1,1,2,4,2,2,2,2,3,1,3,2,2,1,NA,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,4,1,6,3,1,1,3,3,1,1,1,"00005",0.4146803863
4565,2,2,2,2,4,4,3,2,3,2,1,3,2,2,4,1,4,3,2,3,3,1,1,NA,1,NA,2,2,2,2,1,1,1,6,5,1,2,2,1,1,2,1,2,1,2,1,3,3,2,3,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,99,2,2,2,1,2,2,2,2,99,1,1,4,2,3,2,3,2,3,1,3,2,2,6,2,1,1,1,"00005",0.6606767645
4566,2,1,1,1,2,2,2,2,3,3,2,3,1,3,4,3,3,3,1,4,4,1,99,NA,1,99,99,4,NA,NA,3,1,1,5,1,99,99,99,99,99,99,99,2,99,99,99,99,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,99,99,99,99,99,99,99,99,2,99,99,99,2,99,2,2,2,2,2,2,1,NA,2,1,2,2,2,2,2,2,1,4,2,4,2,2,3,1,1,1,NA,1,99,99,1,1,1,"46060",0.2284588138
4567,2,2,2,1,3,2,2,2,2,1,1,4,3,4,2,3,2,4,4,2,4,1,NA,1,1,3,NA,NA,2,NA,2,99,1,3,5,1,1,1,1,1,1,1,2,2,1,1,2,2,1,3,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,3,2,3,1,2,2,2,1,2,2,99,1,3,2,2,2,1,6,1,1,2,NA,2,7,1,1,0,1,"12420",0.6818367502
4568,1,2,2,2,1,1,2,2,4,3,2,3,1,4,4,4,2,4,2,4,4,1,NA,NA,NA,1,NA,1,NA,NA,2,1,1,5,1,2,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,2,3,3,1,2,2,2,2,1,1,3,2,1,1,3,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,1,3,1,4,2,1,5,1,1,1,NA,1,5,2,1,1,1,"00004",0.3009264567
4569,2,2,1,1,2,2,1,1,3,3,2,1,1,1,4,2,2,2,3,4,2,1,1,NA,1,2,1,1,NA,1,2,1,1,6,5,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,2,1,1,2,2,2,2,2,3,3,2,2,2,2,2,2,1,2,2,1,1,3,2,1,2,1,2,2,2,2,1,NA,1,1,2,2,2,2,1,2,1,2,1,4,1,1,5,1,1,3,1,1,6,2,1,1,1,"31540",0.2130011825
4570,2,1,1,2,2,2,1,1,3,3,1,3,1,1,2,1,3,2,3,1,2,1,1,1,1,2,1,1,1,1,1,1,2,7,6,2,2,2,2,2,2,1,3,2,1,1,1,3,2,1,2,1,1,1,3,4,2,3,2,3,2,3,3,4,3,2,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,2,2,1,1,1,1,3,3,2,1,1,6,3,6,3,2,2,6,2,1,1,1,"45300",0.3311294492
4571,2,3,2,1,3,3,3,3,4,4,2,3,2,2,4,3,4,4,4,4,4,1,1,NA,1,NA,NA,NA,NA,NA,2,1,2,5,1,1,1,1,1,1,1,1,2,2,3,1,2,2,1,3,2,2,4,2,1,1,1,2,2,1,1,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,4,1,2,2,2,3,1,3,2,NA,2,5,2,1,1,2,"33700",0.898232113
4572,1,1,2,2,3,3,1,1,2,2,1,3,1,2,4,3,3,4,4,3,4,3,99,NA,1,99,NA,NA,2,NA,4,NA,2,5,7,1,1,1,1,1,1,1,2,2,4,1,4,4,4,4,4,3,4,4,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,2,2,1,2,2,1,1,99,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,3,3,1,2,3,1,1,4,99,9,3,3,1,1,2,"40380",0.8013439338
4573,2,3,2,2,4,4,4,3,3,3,2,3,2,4,4,2,4,4,4,4,4,1,NA,NA,1,NA,NA,NA,NA,NA,3,2,1,7,6,2,2,2,2,1,2,2,2,2,4,2,4,4,2,2,2,4,2,2,2,NA,2,NA,NA,2,2,3,NA,3,3,2,3,3,2,2,2,2,2,2,2,1,3,2,1,3,2,2,2,2,2,2,2,3,2,1,2,2,1,2,2,2,2,2,1,4,2,3,2,1,6,1,3,3,1,1,6,2,3,1,1,"29820",0.4606486588
4574,2,2,2,1,2,1,1,1,1,1,1,3,1,3,2,2,2,3,4,2,4,1,3,3,1,1,2,NA,2,NA,2,1,2,6,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,3,3,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,1,2,1,4,2,3,2,4,6,2,NA,2,8,1,1,1,1,"10420",0.7263662106
4575,1,2,1,1,2,2,3,1,2,4,2,5,4,1,4,3,1,3,4,4,4,NA,1,NA,1,2,2,NA,NA,NA,2,1,1,7,2,2,1,1,1,1,1,1,2,2,3,1,3,2,1,4,4,1,4,3,1,2,1,2,3,2,NA,NA,1,NA,3,2,1,NA,NA,2,2,2,2,1,1,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,4,2,4,1,2,3,1,1,1,NA,1,6,2,1,1,1,"46060",0.2310740836
4576,2,2,2,2,2,2,2,3,4,4,2,3,4,3,3,2,3,3,3,4,4,NA,99,99,99,1,1,99,NA,NA,2,1,1,5,6,1,2,1,2,1,1,1,2,1,2,2,3,3,2,3,2,2,3,1,2,3,2,2,3,2,2,3,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,2,2,2,2,2,99,2,1,2,2,2,2,2,2,2,2,1,2,2,3,1,1,5,1,6,1,NA,1,6,2,1,1,2,"16980",0.3898230085
4577,1,2,1,1,2,1,2,3,3,3,1,3,1,4,4,1,2,3,4,1,3,1,NA,NA,1,2,4,NA,1,1,3,3,1,5,6,2,2,1,1,1,2,1,2,2,2,1,2,2,3,2,2,2,3,3,2,2,1,2,1,1,1,1,2,3,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,3,2,1,6,1,2,3,2,2,8,1,1,1,1,"28140",0.437094707
4578,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,2,1,2,4,2,1,2,2,1,2,3,3,NA,1,1,1,1,5,6,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,99,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,NA,1,1,2,2,2,2,2,2,1,2,1,3,2,1,6,1,1,2,NA,2,5,2,1,1,1,"31540",0.2299261577
4579,2,3,2,2,3,2,2,1,3,3,2,3,3,3,2,4,4,3,3,4,4,1,2,1,NA,NA,2,2,NA,NA,2,1,2,5,7,1,2,1,2,1,1,2,1,2,4,3,2,3,2,2,3,3,2,2,1,NA,1,2,2,2,1,3,3,1,2,2,2,3,2,1,2,2,2,1,1,1,2,3,2,4,2,1,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,99,1,1,2,4,1,1,5,1,1,3,2,2,6,2,1,1,1,"14460",0.1985916685
4580,2,2,1,1,1,1,2,2,1,1,2,5,2,1,4,3,1,2,3,4,2,2,1,NA,2,1,1,1,NA,1,1,1,2,5,6,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,3,2,2,2,2,2,1,2,2,NA,NA,2,2,2,2,1,2,3,2,1,1,1,1,1,1,2,2,2,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,4,1,1,NA,1,5,2,1,1,1,"00006",0.3556373931
4581,3,3,2,2,3,2,2,3,3,3,2,2,1,3,4,1,4,3,4,4,4,1,99,NA,1,NA,99,NA,NA,NA,3,99,1,5,1,2,2,2,2,2,2,2,2,3,3,1,4,4,1,4,3,2,4,2,2,2,1,NA,NA,2,NA,2,3,NA,3,2,2,3,2,2,2,2,2,2,2,99,3,3,3,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,1,3,2,1,1,3,1,1,5,2,1,1,2,"26900",2.4153210265
4582,2,2,2,2,1,1,3,3,2,3,1,3,2,4,3,1,3,4,3,3,3,1,NA,3,1,1,NA,3,2,1,2,2,1,6,2,1,1,1,2,1,1,2,1,3,2,1,3,4,3,4,2,3,3,2,2,3,99,2,NA,2,NA,3,3,2,2,1,1,2,1,2,2,2,1,1,2,3,2,3,1,3,99,2,2,1,1,2,1,2,2,2,2,1,2,1,2,2,2,99,1,3,1,4,2,1,6,2,3,2,NA,2,3,3,1,1,1,"39580",0.2751099446
4583,1,2,2,1,2,1,2,2,2,2,2,4,2,2,2,1,2,2,2,2,2,2,2,2,1,1,3,3,2,2,1,3,2,5,1,2,2,2,1,2,2,1,2,1,1,1,4,4,2,2,3,2,2,2,2,2,1,NA,NA,1,1,2,1,1,3,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2,2,1,1,2,1,NA,2,1,2,2,2,2,2,2,2,2,3,3,1,2,3,1,1,3,1,1,9,1,1,1,1,"00005",0.2716728221
4584,2,2,2,1,2,2,2,2,1,4,2,5,2,4,3,4,2,4,3,1,4,2,NA,2,NA,3,NA,3,1,NA,3,1,1,7,5,2,2,2,1,2,2,2,2,1,2,1,2,3,2,4,3,3,4,1,1,3,1,2,2,1,NA,3,2,NA,2,2,1,NA,NA,2,2,2,1,1,2,2,3,2,2,4,2,1,2,2,2,2,2,2,2,2,2,99,2,2,2,2,2,2,1,4,2,4,1,1,6,1,1,1,NA,1,9,1,1,1,2,"31080",0.4025332131
4585,2,2,2,1,4,4,4,2,4,1,1,2,4,4,1,2,1,4,4,1,99,NA,NA,1,1,1,NA,NA,1,NA,2,1,1,7,5,1,2,1,1,1,1,1,2,1,3,1,2,3,2,4,2,2,2,2,2,2,1,2,2,1,NA,2,2,2,2,2,1,2,99,2,1,2,2,1,1,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,2,1,6,1,1,3,1,1,6,2,1,1,2,"36260",1.0874705754
4586,2,1,2,2,3,2,2,2,4,3,2,3,1,3,4,4,3,3,3,3,4,1,1,NA,NA,3,2,2,2,NA,2,1,2,4,7,2,2,2,2,1,2,2,3,1,1,1,2,3,1,3,2,2,2,2,2,3,99,3,2,1,1,2,3,2,2,2,1,2,2,1,1,1,2,1,1,1,2,3,1,2,2,2,2,2,2,2,1,2,2,3,2,2,2,2,2,2,2,2,1,1,2,1,1,2,4,1,6,2,NA,2,7,1,1,1,2,"42540",4.5038263761
4587,2,3,2,1,99,2,2,2,3,3,1,3,1,3,1,4,1,3,2,3,4,1,1,1,NA,1,1,1,1,NA,2,1,2,5,6,1,1,1,1,1,1,1,1,1,2,1,2,3,2,3,3,2,4,2,2,1,1,2,2,1,2,2,2,NA,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,3,2,4,2,2,3,1,1,1,NA,1,7,1,3,1,2,"36740",0.7100178317
4588,2,2,2,2,2,2,1,2,3,4,1,3,1,3,2,1,2,2,2,4,4,1,1,1,1,1,1,1,NA,NA,2,1,1,6,7,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,NA,1,1,2,1,1,1,1,2,1,1,4,2,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,3,2,2,2,2,4,3,1,2,NA,2,7,1,1,1,2,"26420",0.5611900515
4589,2,2,2,1,3,3,2,2,3,2,1,4,2,3,3,3,3,2,2,2,4,2,2,2,2,2,3,4,2,NA,2,3,2,5,6,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,1,2,2,2,NA,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,1,1,4,1,1,3,3,3,1,2,"99999",0.5911595394
4590,2,1,1,1,2,1,2,2,1,2,2,1,1,2,2,1,3,3,2,4,4,1,2,2,1,3,1,1,NA,NA,1,3,2,5,7,2,1,2,1,2,1,1,1,2,2,1,2,3,3,2,3,2,3,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,3,2,1,1,1,1,2,2,2,2,2,2,2,1,NA,1,1,2,1,2,2,2,1,1,3,2,3,2,1,5,1,1,1,NA,1,8,1,1,1,1,"00004",0.2384490421
4591,1,1,1,1,1,1,1,1,2,2,1,1,2,1,4,3,2,1,3,2,4,1,1,NA,1,2,3,1,2,NA,2,1,2,5,6,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,1,2,3,1,2,1,3,2,1,2,2,2,2,1,1,1,NA,1,2,2,1,2,2,2,2,1,4,2,4,2,1,5,1,3,3,2,2,3,3,1,1,1,"38060",0.2162643133
4592,1,2,2,1,3,3,2,3,2,2,1,2,2,2,2,1,2,2,2,2,4,1,1,1,1,1,1,1,1,NA,2,1,1,5,3,1,1,1,2,1,1,1,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,1,2,2,1,1,1,1,1,2,2,2,3,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,1,2,4,1,1,3,2,2,7,1,1,1,1,"49340",0.782845032
4593,1,1,1,1,1,1,1,1,2,1,1,3,1,4,4,1,4,4,4,4,4,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,5,3,2,1,2,1,1,1,1,2,2,2,1,2,2,2,3,2,2,3,1,2,1,1,1,1,2,99,1,1,2,1,2,1,2,1,2,2,2,2,1,2,1,2,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,3,3,3,1,NA,1,5,2,1,1,2,"33100",0.6211132524
4594,2,2,2,1,4,4,4,4,3,3,2,2,3,3,4,2,3,3,2,3,4,1,1,NA,1,3,2,1,2,NA,2,1,1,7,1,2,1,1,1,1,1,1,2,2,4,1,4,3,3,3,3,3,3,2,1,NA,1,NA,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,4,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,2,2,3,2,1,1,5,4,1,4,99,9,7,1,1,1,2,"99999",1.890752304
4595,1,1,2,1,2,2,2,2,4,4,2,3,1,2,4,1,3,3,3,4,99,1,1,NA,1,99,1,99,NA,NA,2,1,1,5,2,1,1,1,1,1,1,1,2,2,2,2,99,3,4,3,3,2,3,2,2,2,1,NA,2,NA,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,2,2,2,2,2,2,2,99,2,99,2,2,2,2,2,2,2,2,1,4,2,4,1,2,3,1,3,3,1,1,3,3,1,1,2,"00006",0.6783039394
4596,2,2,2,2,2,1,2,1,4,1,1,1,1,1,4,1,4,3,2,4,4,1,1,NA,1,NA,1,4,NA,NA,3,2,1,5,6,2,2,2,2,2,2,2,3,2,2,1,3,3,3,2,2,3,3,1,2,3,2,3,2,2,2,3,3,3,1,1,2,2,1,2,1,1,2,1,1,3,2,1,1,2,2,2,1,2,2,2,1,3,1,NA,2,1,2,1,2,2,1,99,1,4,1,4,1,2,3,1,3,3,1,1,99,99,1,1,2,"00001",0.6783039394
4597,1,2,1,1,3,2,1,1,1,3,2,5,1,2,2,1,2,3,4,4,3,1,2,2,1,2,3,NA,NA,1,2,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,1,2,1,1,3,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,6,2,2,2,NA,2,7,1,1,1,2,"37980",1.4130992977
4598,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,4,1,1,1,1,1,1,2,2,NA,1,1,2,7,2,2,2,2,2,2,2,1,3,1,1,1,1,2,2,4,2,1,4,1,2,2,2,2,3,2,NA,2,2,NA,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,1,2,1,2,2,2,1,1,2,4,1,1,2,1,2,2,1,2,1,4,3,2,2,1,5,3,6,1,NA,1,3,3,1,1,1,"00002",0.3149858145
4599,1,1,2,99,2,2,2,2,4,4,2,2,4,1,2,1,1,2,1,4,4,NA,1,1,1,1,2,2,NA,NA,1,1,1,5,3,1,1,1,2,1,1,1,1,1,1,1,1,3,4,4,3,2,3,3,2,2,1,2,2,NA,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,2,1,2,2,2,3,1,NA,1,1,2,2,2,2,1,2,1,2,2,3,2,1,5,1,6,2,NA,2,99,99,1,0,1,"19780",0.3639878749
4600,2,2,2,1,2,2,1,2,2,1,1,3,1,2,2,2,3,2,3,2,4,1,3,3,1,2,2,2,1,NA,2,3,1,7,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,1,2,2,2,2,1,3,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,4,1,6,2,NA,2,5,2,1,1,1,"31140",0.383231658
4601,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,1,2,2,3,2,4,1,1,1,1,2,1,3,1,NA,2,1,1,5,7,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,3,1,1,5,1,1,1,NA,1,7,1,1,1,1,"36540",0.1741516961
4602,2,3,2,1,3,3,2,2,2,3,1,3,2,3,4,4,4,4,3,4,4,1,1,NA,NA,NA,NA,1,NA,NA,3,1,2,5,6,1,2,1,2,1,2,1,2,1,2,1,2,2,2,4,4,2,1,2,2,3,1,2,2,2,NA,NA,1,2,3,2,3,3,1,2,2,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,3,2,2,2,2,1,2,2,1,1,2,2,2,3,2,2,2,3,2,1,4,2,2,7,1,1,1,1,"99999",0.9137435795
4603,1,1,1,1,2,2,2,3,2,3,2,5,3,3,2,4,2,3,4,2,4,1,2,1,NA,3,3,NA,2,NA,3,1,2,5,2,1,2,1,2,1,2,1,2,2,2,1,2,3,1,3,2,2,2,3,3,3,1,1,2,2,2,3,2,2,3,2,1,2,1,2,2,2,1,1,1,1,2,2,2,3,2,2,2,1,2,2,1,3,2,2,1,2,2,2,2,2,2,2,1,4,2,3,1,1,5,1,1,3,2,2,8,1,1,1,2,"00001",0.6771172216
4604,1,2,2,1,2,2,2,2,2,3,1,3,1,3,3,2,3,3,2,3,4,99,2,1,1,2,1,3,2,NA,2,1,1,5,6,1,1,1,1,1,1,1,2,2,2,1,3,3,1,3,2,3,2,2,2,1,1,2,2,1,2,2,2,2,3,2,2,3,1,2,99,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,5,1,1,3,1,1,99,99,1,1,1,"28140",0.4212472494
4605,1,1,1,2,1,1,1,1,1,1,1,5,1,1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,2,NA,1,1,1,2,6,1,1,1,1,1,1,1,1,1,1,1,1,99,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,1,2,1,1,1,3,2,1,6,2,NA,2,2,3,1,1,2,"33460",4.8404311801
4606,1,3,1,1,1,1,2,3,4,4,1,1,1,2,4,3,3,2,4,4,4,1,1,NA,1,1,1,NA,NA,NA,3,2,2,2,5,1,1,1,1,1,1,1,1,2,2,2,3,4,2,3,2,3,3,2,2,1,1,2,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,4,2,2,2,2,2,2,1,2,1,NA,2,1,2,2,2,2,2,2,1,3,2,4,1,1,6,1,1,2,NA,2,6,2,1,1,1,"22220",0.1365294185
